MES	ID	SCORE_SISTEMA	CTDMESPASIVOULT12MES	INGRESO	CLASIFRIESGO_6	ESTADOCIVIL	TIPO	DEPARTAMENTO	NUMEROHIJOS	INCUMPLIMIENTOEN12	DELTA_BANCOS
201510	24295321	258.01047897	12	3248.99	0	SOL	1	08	0	0	3
201510	24321733	398.52870609	12	4907.58	0	CAS	1	28	0	0	3
201510	24335861	343.12243475	12	3537.13	0	SOL	1	30	0	0	3
201510	24346378	333.89941137	10	4035.68	0	SOL	1	24	2	0	3
201510	24349676	418.16561938	12	4583.21	0	CAS	1	08	0	0	3
201510	24354550	260.43281878	12	3152.11	1	SOL	1	30	2	0	3
201510	24356167	316.49767337	11	3889.06	0	SOL	1	48	-	0	3
201510	24359517	329.13677802	12	3276.52	0	CAS	1	30	0	0	3
201510	24363716	378.1124876	12	3884.79	0	CAS	1	38	0	0	3
201510	24369124		12	3404.11	0	SOL	1	36	2	0	3
201510	24376244	439.56649001	12	3533.77	0	CAS	1	30	1	0	3
201510	24382893	214.73399848	12	3586.74	1	SOL	1	30	-	0	3
201510	24384669	409.65095659	12	4390.73	0	CAS	1	40	0	0	3
201510	24390581	392.91178275	12	3861.98	0	SOL	1	12	0	0	3
201510	24394657	235.91059092	12	4664.09	0	SEP	1	30	0	0	3
201510	24395108	359.89282178	12	4461.62	0	CAS	1	30	0	0	3
201510	24396515	377.27929062	12	3569.33	0	SOL	1	30	-	0	3
201510	24396706	422.32759384	12	4892	0	CAS	1	26	0	0	3
201510	24397900	256.68702276	12	3064.28	0	CAS	1	08	-	0	3
201510	24402250	413.99722472	12	4768.89	0	CAS	1	30	2	0	3
201510	24403102	334.17239889	12	4659.87	0	SOL	1	30	0	0	3
201510	24403922	344.73841343	12	3984.31	0	SOL	1	26	0	0	3
201510	24406124	425.76118983	12	3362.75	0	CAS	1	30	0	0	3
201510	24408998	414.39095844	12	3258.94	0	SOL	1	30	0	0	3
201510	24410120	335.73165981	12	3686.24	0	SOL	1	36	2	0	3
201510	24410393	411.67669958	12	3451.2	0	SOL	1	30	0	0	3
201510	24411507	441.48612394	12	3081.81	0	SOL	1	42	2	0	3
201510	24412862	397.16001041	12	4955.75	0	CAS	1	24	1	0	3
201510	24412971	325.11382803	12	3102.8	0	SOL	1	36	0	0	3
201510	24413710	303.2304951	12	4062.18	0	SOL	1	30	2	0	3
201510	24413788	317.2149445	12	4221.46	0	SOL	1	30	-	0	3
201510	24414565	382.58181677	12	4260.72	0	SOL	1	30	1	0	3
201510	24416203	420.68255512	12	4030.75	0	SOL	1	04	0	0	3
201510	24418300	411.1871407	12	4050.76	0	SOL	1	30	0	0	3
201510	24419358	270.70817607	5	4947.43	0	CAS	1	08		0	3
201510	24419811	323.38241292	12	3730.83	0	SOL	1	30	-	0	3
201510	24420387	384.28503428	12	4433.04	0	SOL	1	30	1	0	3
201510	24420672	420.21794121	12	4344.91	0	CAS	1	30	0	0	3
201510	24423055	350.34081385	12	3470.66	0	CAS	1	40	1	0	3
201510	24424983	304.30858175	12	4475.01	1	CAS	1	30	2	0	3
201510	24425155	299.77999599	12	4344.48	0	CAS	1	14	2	0	3
201510	24426825	292.16272687	12	4752	0	CAS	1	30	0	1	3
201510	24427636	373.3163512	12	3193.57	0	SOL	1	30	1	0	3
201510	24429032	359.50293247	12	3518.27	0	CAS	1	08	0	0	3
201510	24430257	385.67875047	12	4682.28	0	CAS	1	30	-	0	3
201510	24431619	235.48904056	12	4246.46	0	SOL	1	10	-	0	3
201510	24432054	362.28459976	12	3724.08	0	SOL	1	12	0	0	3
201510	24432610	448.24380818	12	3641.55	0	CAS	1	30	0	0	3
201510	24432802		12	3550.18	0	SOL	1	10	0	0	3
201510	24433864	356.6554695	12	3322.05	0	CAS	1	14	2	0	3
201510	24434217	319.11402778	8	3428.96	0	CAS	1	08	-	0	3
201510	24434573	409.36316005	12	3719.25	0	SOL	1	24	4	0	3
201510	24434684	424.43776189	12	4397.71	0	SOL	1	36	3	0	3
201510	24435396	416.16911803	12	3752.73	0	SOL	1	40	0	0	3
201510	24435678	329.10197976	12	3359.35	0	SOL	1	30	0	0	3
201510	24436008	298.99916077	12	3318.43	1	CAS	1	04	1	0	3
201510	24436175	287.46613398	12	3834.62	1	SOL	1	22	2	0	3
201510	24436250	318.81679624	12	4187.37	0	SOL	1	08	4	0	3
201510	24437106	380.46807448	12	4351.18	0	CAS	1	22	0	0	3
201510	24437361	281.3186034	12	3116.85	0	CAS	1	40	0	0	3
201510	24437446	320.19694811	12	4065.8	0	SOL	1	30	0	0	3
201510	24437698	392.56807283	2	4365.43	0	CAS	1	20	0	0	3
201510	24438022	241.53230092	12	4560.26	2	SOL	1	40	0	0	3
201510	24438504	419.54241503	12	3032.59	0	SOL	1	26	1	0	3
201510	24440287	413.88110813	12	4350	0	SOL	1	30	1	0	3
201510	24440471	398.19570634	8	3201.62	0	CAS	1	30	2	0	3
201510	24440834	452.58410139	12	4927.68	0	CAS	1	08	4	0	3
201510	24441142	485.04081886	12	4690.7	0	SOL	1	30	1	0	3
201510	24441154	406.8831278	12	3747.99	0	SOL	1	24	-	0	3
201510	24442296	352.90448712	12	3454.54	0	SOL	1	30	0	0	3
201510	24442544	367.26377879	12	3351.07	0	SOL	1	24	1	0	3
201510	24442705	416.51184322	12	3627.86	0	SOL	1	42	2	0	3
201510	24443188	437.51124826	12	4342.97	0	SOL	1	30	0	0	3
201510	24444270	320.89363184	12	4729.05	0	SOL	1	30	0	0	3
201510	24445263	402.8015213	12	3500.75	0	CAS	1	30	0	0	3
201510	24445446	386.54297906	12	3373.49	0	SOL	1	30	2	0	3
201510	24445731	339.28929335	12	3575.01	0	CAS	1	30	2	0	3
201510	24446447		12	3823.65	4	SOL	1	08	2	0	3
201510	24446480	370.46956761	12	3577.24	0	CAS	1	36	-	0	3
201510	24446879		12	3209.67	0	CAS	1	26	0	1	3
201510	24447752	316.04021513	12	3505.58	0	SOL	1	30	1	0	3
201510	24448074	375.65390035	12	4075.01	0	CON	1	20	0	0	3
201510	24449243		12	4031.15	0	SOL	1	30	0	0	3
201510	24449399	383.66784933	12	4626.98	0	CAS	1	26	4	0	3
201510	24449473	371.46371684	12	4717.17	0	CAS	1	08	1	0	3
201510	24449744	419.68689461	12	3999.99	0	CAS	1	44	1	0	3
201510	24449765	396.04414451	12	4491.36	0	SOL	1	08	-	0	3
201510	24449811	337.12567799	12	4929.68	0	CAS	1	08	-	0	3
201510	24449872	376.48747391	12	3500	0	CAS	1	26	0	0	3
201510	24450147	404.90790274	12	4824.96	0	SOL	1	30	0	0	3
201510	24450273	424.68002451	12	3611.9	0	SOL	1	30	0	0	3
201510	24450304	435.4364654	12	3355.51	0	CAS	1	38	0	0	3
201510	24450332	272.89806873	12	3609.43	3	SOL	1	10	0	0	3
201510	24450376	414.03864312	12	4249.74	0	CAS	1	12	1	0	3
201510	24450403	288.86664891	12	3580.39	1	SOL	1	30	3	0	3
201510	24450494	439.74159268	12	4075.54	0	SOL	1	38	0	1	3
201510	24451122	421.38545349	12	3443.71	0	SOL	1	30	0	0	3
201510	24451141		12	4144.17	0	SOL	1	16	0	0	3
201510	24451423	395.66485867	12	3183.69	0	SOL	1	30	0	0	3
201510	24451429	288.55142336	12	4475.16	2	SOL	1	20	0	0	3
