MES,ID,SCORE_SISTEMA,CTDMESPASIVOULT12MES,INGRESO,CLASIFRIESGO_6,ESTADOCIVIL,TIPO,DEPARTAMENTO,NUMEROHIJOS,INCUMPLIMIENTOEN12,DELTA_BANCOS
201510,1,258.010479,12,3248.99,0,SOL,1,8,0,0,3
201510,2,398.5287061,12,4907.58,0,CAS,1,28,0,0,3
201510,3,343.1224348,12,3537.13,0,SOL,1,30,0,0,3
201510,4,333.8994114,10,4035.68,0,SOL,1,24,2,0,3
201510,5,418.1656194,12,4583.21,0,CAS,1,8,0,0,3
201510,6,260.4328188,12,3152.11,1,SOL,1,30,2,0,3
201510,7,316.4976734,11,3889.06,0,SOL,1,48,-,0,3
201510,8,329.136778,12,3276.52,0,CAS,1,30,0,0,3
201510,9,378.1124876,12,3884.79,0,CAS,1,38,0,0,3
201510,10,,12,3404.11,0,SOL,1,36,2,0,3
201510,11,439.56649,12,3533.77,0,CAS,1,30,1,0,3
201510,12,214.7339985,12,3586.74,1,SOL,1,30,-,0,3
201510,13,409.6509566,12,4390.73,0,CAS,1,40,0,0,3
201510,14,392.9117828,12,3861.98,0,SOL,1,12,0,0,3
201510,15,235.9105909,12,4664.09,0,SEP,1,30,0,0,3
201510,16,359.8928218,12,4461.62,0,CAS,1,30,0,0,3
201510,17,377.2792906,12,3569.33,0,SOL,1,30,-,0,3
201510,18,422.3275938,12,4892,0,CAS,1,26,0,0,3
201510,19,256.6870228,12,3064.28,0,CAS,1,8,-,0,3
201510,20,413.9972247,12,4768.89,0,CAS,1,30,2,0,3
201510,21,334.1723989,12,4659.87,0,SOL,1,30,0,0,3
201510,22,344.7384134,12,3984.31,0,SOL,1,26,0,0,3
201510,23,425.7611898,12,3362.75,0,CAS,1,30,0,0,3
201510,24,414.3909584,12,3258.94,0,SOL,1,30,0,0,3
201510,25,335.7316598,12,3686.24,0,SOL,1,36,2,0,3
201510,26,411.6766996,12,3451.2,0,SOL,1,30,0,0,3
201510,27,441.4861239,12,3081.81,0,SOL,1,42,2,0,3
201510,28,397.1600104,12,4955.75,0,CAS,1,24,1,0,3
201510,29,325.113828,12,3102.8,0,SOL,1,36,0,0,3
201510,30,303.2304951,12,4062.18,0,SOL,1,30,2,0,3
201510,31,317.2149445,12,4221.46,0,SOL,1,30,-,0,3
201510,32,382.5818168,12,4260.72,0,SOL,1,30,1,0,3
201510,33,420.6825551,12,4030.75,0,SOL,1,4,0,0,3
201510,34,411.1871407,12,4050.76,0,SOL,1,30,0,0,3
201510,35,270.7081761,5,4947.43,0,CAS,1,8,,0,3
201510,36,323.3824129,12,3730.83,0,SOL,1,30,-,0,3
201510,37,384.2850343,12,4433.04,0,SOL,1,30,1,0,3
201510,38,420.2179412,12,4344.91,0,CAS,1,30,0,0,3
201510,39,350.3408139,12,3470.66,0,CAS,1,40,1,0,3
201510,40,304.3085818,12,4475.01,1,CAS,1,30,2,0,3
201510,41,299.779996,12,4344.48,0,CAS,1,14,2,0,3
201510,42,292.1627269,12,4752,0,CAS,1,30,0,1,3
201510,43,373.3163512,12,3193.57,0,SOL,1,30,1,0,3
201510,44,359.5029325,12,3518.27,0,CAS,1,8,0,0,3
201510,45,385.6787505,12,4682.28,0,CAS,1,30,-,0,3
201510,46,235.4890406,12,4246.46,0,SOL,1,10,-,0,3
201510,47,362.2845998,12,3724.08,0,SOL,1,12,0,0,3
201510,48,448.2438082,12,3641.55,0,CAS,1,30,0,0,3
201510,49,,12,3550.18,0,SOL,1,10,0,0,3
201510,50,356.6554695,12,3322.05,0,CAS,1,14,2,0,3
201510,51,319.1140278,8,3428.96,0,CAS,1,8,-,0,3
201510,52,409.3631601,12,3719.25,0,SOL,1,24,4,0,3
201510,53,424.4377619,12,4397.71,0,SOL,1,36,3,0,3
201510,54,416.169118,12,3752.73,0,SOL,1,40,0,0,3
201510,55,329.1019798,12,3359.35,0,SOL,1,30,0,0,3
201510,56,298.9991608,12,3318.43,1,CAS,1,4,1,0,3
201510,57,287.466134,12,3834.62,1,SOL,1,22,2,0,3
201510,58,318.8167962,12,4187.37,0,SOL,1,8,4,0,3
201510,59,380.4680745,12,4351.18,0,CAS,1,22,0,0,3
201510,60,281.3186034,12,3116.85,0,CAS,1,40,0,0,3
201510,61,320.1969481,12,4065.8,0,SOL,1,30,0,0,3
201510,62,392.5680728,2,4365.43,0,CAS,1,20,0,0,3
201510,63,241.5323009,12,4560.26,2,SOL,1,40,0,0,3
201510,64,419.542415,12,3032.59,0,SOL,1,26,1,0,3
201510,65,413.8811081,12,4350,0,SOL,1,30,1,0,3
201510,66,398.1957063,8,3201.62,0,CAS,1,30,2,0,3
201510,67,452.5841014,12,4927.68,0,CAS,1,8,4,0,3
201510,68,485.0408189,12,4690.7,0,SOL,1,30,1,0,3
201510,69,406.8831278,12,3747.99,0,SOL,1,24,-,0,3
201510,70,352.9044871,12,3454.54,0,SOL,1,30,0,0,3
201510,71,367.2637788,12,3351.07,0,SOL,1,24,1,0,3
201510,72,416.5118432,12,3627.86,0,SOL,1,42,2,0,3
201510,73,437.5112483,12,4342.97,0,SOL,1,30,0,0,3
201510,74,320.8936318,12,4729.05,0,SOL,1,30,0,0,3
201510,75,402.8015213,12,3500.75,0,CAS,1,30,0,0,3
201510,76,386.5429791,12,3373.49,0,SOL,1,30,2,0,3
201510,77,339.2892934,12,3575.01,0,CAS,1,30,2,0,3
201510,78,,12,3823.65,4,SOL,1,8,2,0,3
201510,79,370.4695676,12,3577.24,0,CAS,1,36,-,0,3
201510,80,,12,3209.67,0,CAS,1,26,0,1,3
201510,81,316.0402151,12,3505.58,0,SOL,1,30,1,0,3
201510,82,375.6539004,12,4075.01,0,CON,1,20,0,0,3
201510,83,,12,4031.15,0,SOL,1,30,0,0,3
201510,84,383.6678493,12,4626.98,0,CAS,1,26,4,0,3
201510,85,371.4637168,12,4717.17,0,CAS,1,8,1,0,3
201510,86,419.6868946,12,3999.99,0,CAS,1,44,1,0,3
201510,87,396.0441445,12,4491.36,0,SOL,1,8,-,0,3
201510,88,337.125678,12,4929.68,0,CAS,1,8,-,0,3
201510,89,376.4874739,12,3500,0,CAS,1,26,0,0,3
201510,90,404.9079027,12,4824.96,0,SOL,1,30,0,0,3
201510,91,424.6800245,12,3611.9,0,SOL,1,30,0,0,3
201510,92,435.4364654,12,3355.51,0,CAS,1,38,0,0,3
201510,93,272.8980687,12,3609.43,3,SOL,1,10,0,0,3
201510,94,414.0386431,12,4249.74,0,CAS,1,12,1,0,3
201510,95,288.8666489,12,3580.39,1,SOL,1,30,3,0,3
201510,96,439.7415927,12,4075.54,0,SOL,1,38,0,1,3
201510,97,421.3854535,12,3443.71,0,SOL,1,30,0,0,3
201510,98,,12,4144.17,0,SOL,1,16,0,0,3
201510,99,395.6648587,12,3183.69,0,SOL,1,30,0,0,3
201510,100,288.5514234,12,4475.16,2,SOL,1,20,0,0,3
201510,101,262.8465441,5,4075.99,0,CAS,1,8,0,0,3
201510,102,326.343751,12,4897.51,0,SOL,1,30,0,0,3
201510,103,359.8026132,12,3000,0,CAS,1,8,2,0,3
201510,104,304.6756979,12,4022.6,0,SOL,1,2,0,1,3
201510,105,379.0998643,12,3071.76,0,SOL,1,26,1,0,3
201510,106,365.2999296,12,4237.11,0,CAS,1,30,3,0,3
201510,107,370.3553373,12,4129.47,0,SOL,1,12,0,0,3
201510,108,,12,4312.83,0,SOL,1,30,2,0,3
201510,109,,12,3018.29,0,SOL,1,24,1,0,3
201510,110,345.2203477,9,3882.43,0,SOL,1,44,0,0,3
