CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
453,Germany,Female,29,4,115046.74,0,1,0,119346.88,1
616,Germany,Male,45,3,143129.41,0,0,1,64327.26,0
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0
553,Germany,Male,41,9,110112.54,0,0,0,81898.81,0
582,Germany,Male,41,6,70349.48,0,0,1,178074.04,0
776,Germany,Female,32,4,109421.13,0,1,1,126517.46,0
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0
776,Germany,Female,37,2,103769.22,0,1,0,194099.12,0
698,Germany,Male,44,10,116363.37,0,1,0,198059.16,0
585,Germany,Male,36,5,146050.97,0,0,0,86424.57,0
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0
687,Germany,Female,27,9,152328.88,0,0,0,126494.82,0
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
751,Germany,Female,36,6,169831.46,0,1,1,27758.36,0
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0
735,Germany,Male,43,10,123180.01,0,1,1,196673.28,0
661,Germany,Female,35,5,150725.53,0,0,1,113656.85,0
738,Germany,Male,58,2,133745.44,0,1,0,28373.86,1
604,Germany,Female,25,5,157780.84,0,1,1,58426.81,0
453,Germany,Female,41,10,122189.66,0,1,0,98301.61,0
635,Germany,Female,28,3,81623.67,0,1,1,156791.36,0
814,Germany,Male,29,8,97086.4,0,1,1,197276.13,0
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0
538,Germany,Male,39,7,108055.1,0,1,0,27231.26,0
721,Germany,Male,28,9,154475.54,0,0,1,101300.94,1
628,Germany,Female,30,9,132351.29,0,1,1,74169.13,0
668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0
524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1
699,Germany,Male,34,4,185160.94680000003,0,1,0,120834.48,0
684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0
625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1
795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0
789,Germany,Male,39,7,124828.46,0,1,1,124411.08,0
589,Germany,Female,50,5,144895.05,0,1,1,34941.23,0
461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0
756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0
631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0
660,Germany,Male,31,9,125189.75,0,1,1,139874.43,0
704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1
682,Germany,Male,24,9,57929.81,0,0,0,53134.3,0
628,Germany,Male,27,5,95826.49,0,1,0,155996.96,0
480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1
606,Germany,Male,36,5,185160.94680000003,0,0,0,179351.89,0
754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1
778,Germany,Female,45,1,162150.42,0,1,0,174531.27,0
687,Germany,Female,34,7,111388.18,0,1,0,148564.76,0
721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0
689,Germany,Male,33,2,161814.64,0,1,0,169381.9,0
572,Germany,Male,26,4,118287.01,0,0,0,60427.3,0
668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1
