Codmes,Gender,Age,EstimatedSalary,Purchased_12_obs
201901,0,28,44000,0
201901,0,27,17000,0
201901,1,27,20000,0
201901,0,29,83000,0
201901,0,28,37000,0
201901,0,36,75000,0
201901,1,33,31000,0
201901,0,22,55000,0
201901,0,26,118000,0
201901,0,56,104000,1
201901,0,44,39000,0
201901,0,45,131000,1
201901,0,42,108000,1
201901,1,37,77000,0
201901,1,36,118000,1
201901,1,57,60000,1
201901,0,42,79000,0
201901,0,59,29000,1
201902,1,49,28000,1
201902,0,31,89000,0
201902,0,26,84000,0
201902,1,30,89000,0
201902,1,46,59000,0
201902,0,31,71000,0
201902,0,35,147000,1
201902,0,35,72000,0
201902,0,48,138000,1
201902,1,35,75000,0
201902,0,38,113000,1
201902,0,53,34000,1
201902,1,38,71000,0
201902,0,42,53000,0
201902,0,57,33000,1
201903,1,30,15000,0
201903,1,25,79000,0
201903,0,27,54000,0
201903,1,26,81000,0
201903,1,26,15000,0
201903,1,27,88000,0
201903,1,21,72000,0
201903,0,28,55000,0
201903,1,19,85000,0
201903,1,35,38000,0
201903,0,52,114000,0
201903,0,40,142000,1
201903,0,50,88000,1
201903,0,57,122000,1
201903,0,48,134000,1
201903,1,40,57000,0
201903,1,60,42000,1
201903,1,49,88000,1
201903,1,54,70000,1
201903,0,37,80000,0
201903,1,48,33000,1
201903,1,36,33000,0
201904,1,35,20000,0
201904,1,35,108000,0
201904,0,18,44000,0
201904,0,32,117000,0
201904,1,25,80000,0
201904,0,33,113000,0
201904,1,37,55000,0
201904,1,40,107000,1
201904,0,37,80000,0
201904,0,53,143000,1
201904,0,47,50000,1
201904,1,56,60000,1
201905,0,23,48000,0
201905,0,30,62000,0
201905,1,29,61000,0
201905,1,20,74000,0
201905,1,26,30000,0
201905,1,29,148000,1
201905,0,33,60000,0
201905,1,31,66000,0
201905,0,41,71000,0
201905,0,47,47000,0
201905,0,60,108000,1
201905,0,49,141000,1
201905,0,42,75000,0
201905,0,38,55000,0
201905,1,60,83000,1
201906,1,19,76000,0
201906,0,27,31000,0
201906,1,28,79000,0
201906,0,22,27000,0
201906,1,27,89000,0
201906,0,27,96000,1
201906,1,29,43000,0
201906,0,41,80000,0
201906,0,36,126000,1
201906,0,35,97000,1
201906,0,35,77000,0
201906,0,50,36000,1
201906,1,37,70000,1
201906,1,42,54000,0
201906,0,52,138000,1
201906,1,42,65000,0
201906,0,54,108000,1
201906,0,39,59000,0
