"","User.ID","Gender","Age","EstimatedSalary","Purchased","Segmento_Age"
"2",15810944,"Male",35,20000,"No Compra",2
"8",15694829,"Female",32,150000,"Compra",2
"10",15727311,"Female",35,65000,"No Compra",2
"14",15704987,"Male",32,18000,"No Compra",2
"17",15733883,"Male",47,25000,"Compra",2
"18",15617482,"Male",45,26000,"Compra",2
"19",15704583,"Male",46,28000,"Compra",2
"21",15649487,"Male",45,22000,"Compra",2
"22",15736760,"Female",47,49000,"Compra",2
"24",15599081,"Female",45,22000,"Compra",2
"25",15705113,"Male",46,23000,"Compra",2
"26",15631159,"Male",47,20000,"Compra",2
"28",15633531,"Female",47,30000,"Compra",2
"36",15713144,"Male",35,27000,"No Compra",2
"37",15690188,"Female",33,28000,"No Compra",2
"42",15591915,"Female",33,51000,"No Compra",2
"43",15772798,"Male",35,108000,"No Compra",2
"54",15671655,"Female",35,23000,"No Compra",2
"60",15789109,"Female",32,117000,"No Compra",2
"64",15583681,"Male",32,120000,"Compra",2
"74",15782530,"Female",33,113000,"No Compra",2
"75",15592877,"Male",32,18000,"No Compra",2
"76",15651983,"Male",34,112000,"Compra",2
"82",15668385,"Male",39,42000,"No Compra",2
"84",15711218,"Male",35,88000,"No Compra",2
"90",15682268,"Male",35,50000,"No Compra",2
"96",15709441,"Female",35,44000,"No Compra",2
"97",15710257,"Female",35,25000,"No Compra",2
"99",15575694,"Male",35,73000,"No Compra",2
"103",15584545,"Female",32,86000,"No Compra",2
"104",15675949,"Female",33,149000,"Compra",2
"110",15697997,"Female",38,80000,"No Compra",2
"111",15665416,"Female",39,71000,"No Compra",2
"112",15660200,"Female",37,71000,"No Compra",2
"113",15619653,"Male",38,61000,"No Compra",2
"114",15773447,"Male",37,55000,"No Compra",2
"115",15739160,"Male",42,80000,"No Compra",2
"116",15689237,"Male",40,57000,"No Compra",2
"117",15679297,"Male",35,75000,"No Compra",2
"118",15591433,"Male",36,52000,"No Compra",2
"119",15642725,"Male",40,59000,"No Compra",2
"120",15701962,"Male",41,59000,"No Compra",2
"121",15811613,"Female",36,75000,"No Compra",2
"122",15741049,"Male",37,72000,"No Compra",2
"123",15724423,"Female",40,75000,"No Compra",2
"124",15574305,"Male",35,53000,"No Compra",2
"125",15678168,"Female",41,51000,"No Compra",2
"126",15697020,"Female",39,61000,"No Compra",2
"127",15610801,"Male",42,65000,"No Compra",2
"132",15801247,"Male",33,31000,"No Compra",2
"143",15617134,"Male",35,59000,"No Compra",2
"145",15622833,"Female",34,25000,"No Compra",2
"148",15749130,"Female",41,30000,"No Compra",2
"152",15576219,"Male",41,45000,"No Compra",2
"154",15619087,"Female",36,50000,"No Compra",2
"155",15605327,"Male",40,47000,"No Compra",2
"157",15791174,"Male",46,59000,"No Compra",2
"160",15598840,"Female",32,135000,"Compra",2
"161",15744279,"Male",32,100000,"Compra",2
"163",15599533,"Female",37,33000,"No Compra",2
"164",15757837,"Male",35,38000,"No Compra",2
"165",15697574,"Female",33,69000,"No Compra",2
"168",15614827,"Female",35,71000,"No Compra",2
"172",15570932,"Male",34,115000,"No Compra",2
"174",15581654,"Female",34,43000,"No Compra",2
"175",15644296,"Female",34,72000,"No Compra",2
"177",15609653,"Female",35,47000,"No Compra",2
"183",15694288,"Female",32,117000,"Compra",2
"184",15603319,"Male",33,43000,"No Compra",2
"185",15759066,"Female",33,60000,"No Compra",2
"188",15571059,"Female",33,41000,"No Compra",2
"189",15674206,"Male",35,72000,"No Compra",2
"196",15667742,"Male",34,43000,"No Compra",2
"200",15708228,"Male",35,22000,"No Compra",2
"201",15628523,"Male",35,39000,"No Compra",2
"203",15735549,"Female",39,134000,"Compra",2
"204",15809347,"Female",41,71000,"No Compra",2
"206",15766609,"Female",47,47000,"No Compra",2
"209",15800890,"Female",40,142000,"Compra",2
"210",15697424,"Female",46,22000,"No Compra",2
"214",15657163,"Male",35,58000,"No Compra",2
"215",15622478,"Male",47,43000,"No Compra",2
"218",15582066,"Male",40,78000,"No Compra",2
"219",15666675,"Female",46,96000,"No Compra",2
"221",15789432,"Female",41,80000,"No Compra",2
"222",15663161,"Male",35,91000,"Compra",2
"223",15694879,"Male",37,144000,"Compra",2
"225",15575002,"Female",35,60000,"No Compra",2
"226",15622171,"Male",37,53000,"No Compra",2
"227",15795224,"Female",36,126000,"Compra",2
"229",15691808,"Female",40,72000,"No Compra",2
"230",15721007,"Female",42,80000,"Compra",2
"231",15794253,"Female",35,147000,"Compra",2
"232",15694453,"Male",39,42000,"No Compra",2
"233",15813113,"Male",40,107000,"Compra",2
