,var,mean,median,mode,min,max,sd,cv,k,Q1,Q3,Nmiss
0,CreditScore,651.1164285714286,651.0,850,350,850,96.50598317166094,0.14821616985367475,-0.42027899214240527,584.0,718.0,0.0
1,Geography,.,.,.,.,.,.,.,.,.,.,.
2,Gender,.,.,.,.,.,.,.,.,.,.,.
3,Age,38.598285714285716,37.0,,18,60,9.590757172937248,0.2484762469486459,-0.16895520931290875,32.0,44.0,0.0
4,Tenure,4.976571428571429,5.0,,0,10,2.896809802457935,0.582089465415247,-1.171677478435804,2.0,7.0,0.0
5,Balance,76199.8474671428,96953.155,,0.0,250898.09,62700.22159820447,0.8228392008952599,-1.5023392336030774,0.0,127775.64500000002,0.0
6,NumOfProducts,1.5251428571428571,1.0,,1,4,0.578163240650432,0.37908792474269615,0.5166368561774366,1.0,2.0,0.0
7,HasCrCard,.,.,.,.,.,.,.,.,.,.,.
8,IsActiveMember,.,.,.,.,.,.,.,.,.,.,.
9,EstimatedSalary,99822.82539999994,99731.475,428.23,11.58,199992.48,57597.23840702281,0.5769946720724941,-1.1856614693890954,50456.59999999999,149428.26,0.0
10,Exited,.,.,.,.,.,.,.,.,.,.,.
